transcription,Spanish,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
nèdá,Yo,I,,BMAF01082021-1-combine:09:49.0,0:00.7,9:49.0,9:49.7,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[09_490-09_497].wav,12110812-1
békòʔ,perro,dog,,BMAF01292021-1-combine:00:50.5,0:00.8,0:50.5,0:51.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[00_505-00_513].wav,15690951-1
ʂéʔ,su padre (el/ella),his/her father (formal),,BMAF01292021-1-combine:34:57.8,0:00.9,34:57.8,34:58.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[34_578-34_587].wav,62017056-1
ʂnà̰bèʔ,tu madre (el/ella),his/her mother (informal),,BMAF01292021-1-combine:43:19.0,0:01.0,43:19.0,43:19.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[43_190-43_199].wav,00559111-1
lêvè ʒèʁé nìss jòɣòʒà,él/ella toma agua todos los días,he/she.fam drinks water everyday,,BMAF02032021-1-combine:34:40.5,0:02.9,34:40.5,34:43.3,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[34_405-34_433].wav,36640828-1
ʂísbéʔ,su.informal agua,his/her.informal water,,BMAF01292021-1-combine:22:31.5,0:01.0,22:31.5,22:32.5,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[22_315-22_325].wav,25437107-1
ʂàʒóʔ,nuestro padre,our father (inclusive),,BMAF01292021-1-combine:36:52.6,0:00.9,36:52.6,36:53.5,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[36_526-36_535].wav,05494573-1
nèdá blḛ̀ɺâ t͡ʃòpé nòɺé nèʁê,Ví dos mujeres ayer,I saw two women yesterday,,BMAF01082021-1-combine:06:43.0,0:02.8,6:43.0,6:45.7,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[06_430-06_457].wav,65852288-1
ʂnà̰ʒó,nuestra madre,our mother (inclusive),,BMAF01292021-1-combine:45:48.7,0:01.2,45:48.7,45:49.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[45_487-45_499].wav,22855367-1
zá̃n bèné biǒ,muchos hombres,many men,,BMAF01082021-1-combine:24:15.9,0:01.0,24:15.9,24:16.9,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[24_159-24_169].wav,94576709-1
blḛ̂ɺàʔ tò nò̰ɺé nèʁé,Yo ví una mujer ayer,I saw a woman yesterday,,BMAF01082021-1-combine:03:37.3,0:02.5,3:37.3,3:39.8,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[03_373-03_398].wav,48323453-1
ʐíkwà ʒàwbá jètʰ,mi perro come tortilla,my dog eats tortilla,,BMAF01292021-1-combine:05:54.2,0:02.6,5:54.2,5:56.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[05_542-05_569].wav,01457807-1
ʂnḛ́ʔ,su madre (el/ella),his/her mother (formal),,BMAF01292021-1-combine:43:33.4,0:00.9,43:33.4,43:34.2,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[43_334-43_342].wav,19148088-1
zwâ wên dà̰ ʒḛ̀ʁá nìss jòɣòʒà,Estas sano porque tomas agua todos los días,I am a healthy person because I drink water everyday,,BMAF02032021-1-combine:43:04.7,0:02.9,43:04.7,43:07.6,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[43_047-43_076].wav,87906805-1
lén(ŋ),con,with,,BMAF02172021-1-combine:20:36.6,0:00.9,20:36.6,20:37.5,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[20_366-20_375].wav,51589602-1
ɺe,,,,BMAF02102021-1-combine:43:03.8,0:00.6,43:03.8,43:04.5,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[43_038-43_045].wav,52662222-1
tʂóné nòɺé,tres mujeres,three women,,BMAF01082021-1-combine:02:02.4,0:00.9,2:02.4,2:03.3,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[02_024-02_033].wav,27038894-1
ʐíkòɣàkbéʔ ʒàwbá jètʰ,su.informal perro come tortilla,their.informal dog eats tortilla,,BMAF01292021-1-combine:19:11.9,0:03.0,19:11.9,19:14.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[19_119-19_149].wav,44088789-1
ʂóʔ,su/tu padre,your father,,BMAF01292021-1-combine:33:55.5,0:00.9,33:55.5,33:56.4,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[33_555-33_564].wav,81502384-1
íʔ,fuego,fire,,BMAF01152021-1-combine:19:58.0,0:00.4,19:58.0,19:58.4,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[19_580-19_584].wav,35810241-1
nà̰tgé ʒḛ̂ʁá nîss,Estoy tomando agua ahora,I am drinking water now,,BMAF02032021-1-combine:20:01.2,0:02.0,20:01.2,20:03.2,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[20_012-20_032].wav,45201240-1
t͡ʂàʔ,sartén,pan,,BMAF01082021-1-combine:45:45.7,0:00.4,45:45.7,45:46.1,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[45_457-45_461].wav,17615872-1
ʂísòʔ,tu agua,your water,,BMAF01292021-1-combine:21:36.0,0:01.1,21:36.0,21:37.1,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[21_360-21_371].wav,49839296-1
ne,,,,BMAF02102021-1-combine:33:56.9,0:00.5,33:56.9,33:57.4,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[33_569-33_574].wav,79517941-1
tʂiàʔ,mi,my,,BMAF01152021-1-combine:25:17.9,0:00.6,25:17.9,25:18.5,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[25_179-25_185].wav,88152782-1
tʂònːé,tres,three,,BMAF02172021-1-combine:31:55.6,0:01.0,31:55.6,31:56.6,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[31_556-31_566].wav,40420034-1
ʐíkò ɣàkbéʔ,su.plr (informal) perro,their (informal) dog,,BMAF01292021-1-combine:12:32.3,0:01.3,12:32.3,12:33.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[12_323-12_337].wav,66758566-1
bèɭ,pez,fish,,BMAF01082021-1-combine:35:11.5,0:00.4,35:11.5,35:11.9,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[35_115-35_119].wav,86547187-1
ʐíkò ʒàwbá jètʰ,tu perro come tortilla,your dog eats tortilla,,BMAF01292021-1-combine:13:56.5,0:02.0,13:56.5,13:58.4,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[13_565-13_584].wav,50599305-1
lḛ̀ʔe ʒèʁlè nìss jòɣòʒà,vosotros tomáis agua todos los días,you.plr drink water everyday,,BMAF02032021-1-combine:46:46.7,0:02.2,46:46.7,46:48.9,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[46_467-46_489].wav,85351297-1
ʂlálḛ̀ ʂóbtè niǎ̰,mis dos pies duelen,my two feet hurt,,BMAF01152021-1-combine:18:42.3,0:01.4,18:42.3,18:43.7,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[18_423-18_437].wav,91296905-1
nìʔá,pie,my foot,,BMAF01152021-1-combine:09:22.0,0:00.6,9:22.0,9:22.6,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[09_220-09_226].wav,14274641-1
tʂèʒó,nuestro,our (inclusive),,BMAF01152021-1-combine:27:00.3,0:00.8,27:00.3,27:01.1,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[27_003-27_011].wav,61883743-1
ʂîséʔ,su agua,his/her water (formal),,BMAF01292021-1-combine:24:47.4,0:01.2,24:47.4,24:48.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[24_474-24_487].wav,39836599-1
nìa̰ʔ,decir,say,,BMAF01152021-1-combine:06:24.8,0:00.7,6:24.8,6:25.5,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[06_248-06_255].wav,49907814-1
t͡ʂàʔ,sartén,pan,,BMAF01082021-1-combine:45:52.4,0:00.4,45:52.4,45:52.8,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[45_524-45_528].wav,17615872-2
ʒô̰ ʒèʁ ʒó nìss jòɣòʒà,nosotros tomamos agua todos los días,we.incl drink water everyday,,BMAF02032021-1-combine:46:11.5,0:02.8,46:11.5,46:14.4,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[46_115-46_144].wav,10051830-1
lḛ̂ ɣàkbè ʒêʁɣàkbè nìss jòɣòʒà,ellos toman agua todos los días,they.fam drink water everyday,,BMAF02032021-1-combine:47:23.6,0:04.2,47:23.6,47:27.8,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[47_236-47_278].wav,97082413-1
nèdá blêɺâ nòɺé zẫn nèʁê,Ví muchas mujeres ayer,I saw many women yesterday,,BMAF01082021-1-combine:06:48.7,0:03.3,6:48.7,6:52.0,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[06_487-06_520].wav,58266897-1
ʂàtòʔ,nuestro padre,our father (exclusive),,BMAF01292021-1-combine:37:04.2,0:01.1,37:04.2,37:05.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[37_042-37_053].wav,01560020-1
bèɭ,pez,fish,,BMAF01082021-1-combine:37:21.9,0:00.4,37:21.9,37:22.3,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[37_219-37_223].wav,86547187-2
bèɳéʔ,persona,person,,BMAF01082021-1-combine:35:30.9,0:00.5,35:30.9,35:31.4,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[35_309-35_314].wav,14488708-1
ʈʂíɻ,pájaro,bird,,BMAF01082021-1-combine:39:31.1,0:00.5,39:31.1,39:31.6,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[39_311-39_316].wav,31051785-1
ʂnàkàkbéʔ,su madre,their mother (informal),,BMAF01292021-1-combine:45:24.6,0:01.5,45:24.6,45:26.1,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[45_246-45_261].wav,30531691-1
